"","type","h","rho","Vinf","Vstall","a","Clmax","Cl","Cd","ClCd","theta","t","Eeng","Wb100","R","duration","Eduration","Rduration","PA","t_total","Eeng_total","R_total","Wb84_total","Vb"
"40","Take-off Ground Roll",0,1.225,34.7261459996015,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,13.2778810715173,4780037.18574623,4.78003718574623,315.722317639405,0.75418425856197,271506.333082309,25.8541446589168,360000,13.2778810715173,4780037.18574623,315.722317639405,5.97504648218279,0.0021727441753392
"41","Take-off Ground Roll",0,1.225,35.6165597431811,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,14.0606674178181,5061840.27041453,5.06184027041453,343.253972448059,0.78278634630083,281803.084668299,27.5316548086536,360000,14.0606674178181,5061840.27041453,343.253972448059,6.32730033801816,0.00230083648655206
"42","Take-off Ground Roll",0,1.225,36.5069734867606,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,14.8728546260222,5354227.66536799,5.35422766536799,372.542877997979,0.812187208204072,292387.394953466,29.28890554992,360000,14.8728546260222,5354227.66536799,372.542877997979,6.69278458170999,0.00243373984789454
"43","Take-off Ground Roll",0,1.225,37.3973872303401,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,15.7152874428353,5657503.47942069,5.65750347942069,403.672607384816,0.842432816813045,303275.814052696,31.1297293868373,360000,15.7152874428353,5657503.47942069,403.672607384816,7.07187934927586,0.00257159249064577
"44","Take-off Ground Roll",0,1.225,38.2878009739197,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,16.5888601457373,5971989.65246542,5.97198965246542,436.730864599438,0.873572702902033,314486.173044732,33.0582572146221,360000,16.5888601457373,5971989.65246542,436.730864599438,7.46498706558178,0.00271454075112065
"45","Take-off Ground Roll",0,1.225,39.1782147174992,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,17.4945204417785,6298027.35904026,6.29802735904026,471.80981195155,0.905660296041204,326037.706574834,35.0789473521115,360000,17.4945204417785,6298027.35904026,471.80981195155,7.87253419880032,0.00286273970865466
"46","Take-off Ground Roll",0,1.225,40.0686284610787,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,18.4332737472654,6635978.54901556,6.63597854901556,509.006429943198,0.938753305486955,337951.189975304,37.1966179916482,360000,18.4332737472654,6635978.54901556,509.006429943198,8.29497318626945,0.00301635388591616
"47","Take-off Ground Roll",0,1.225,40.9590422046582,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,19.4061878943447,6986227.64196409,6.98622764196409,548.422913490984,0.972914147079241,350249.092948527,39.4164835477865,360000,19.4061878943447,6986227.64196409,548.422913490984,8.73278455245511,0.00317555801907458
"48","Take-off Ground Roll",0,1.225,41.8494559482378,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,20.414398317102,7349183.39415671,7.34918339415671,590.167108956298,1.00821042275729,362955.752192623,41.7441954653136,360000,20.414398317102,7349183.39415671,590.167108956298,9.18647924269589,0.00334053790643487
"49","Take-off Ground Roll",0,1.225,42.7398696918173,39.6638940321789,340.3,2.7,0.25,0.0256912385199105,9.73094387046589,0,21.4591137775153,7725280.95990552,7.72528095990552,634.352997097351,1.04471546041336,376097.565748811,44.1858881410531,360000,21.4591137775153,7725280.95990552,634.352997097351,9.6566011998819,0.0035114913454116
